NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
251795,male,80,none,0,light tail and lower back molt,trace,9.71,,0.302,0.11,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251790,male,100,none,0,trace neck molt,moderate,10.12,0.074,0.428,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251797,male,70,none,0,trace molt on chest and stomach,trace,10.17,,0.636,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251794,male,100,,0,"trace body, light head",moderate,11.2,0.06,0.466,0.162,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251789,female,100,none,0,light body molt on back and chest,trace,11.3,,0.34,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251813,male,100,none,0,trace head,light,11.51,,0.588,0.12,Passeriformes,Troglodytidae,Troglodytes aedon,18,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251814,male,100,none,0,heavy body molt; primaries/secondaries/coverts in sheaths,light,11.56,,0.792,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,18,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251809,male,100,none,0,light body; heavy head and wing molt; secondaries and tail feathers in sheaths,light,11.79,,0.694,0.16,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251792,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,16,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251793,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251796,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251810,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2015,Patamo de Ite,3,,,17,55.483,70,56.302,,,,,,,,,,,,,,,,,,,,
251733,male,100,none,0,P6 in sheath symmetrical; light body,trace,20.8,0.142,1.348,0.23,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
162025,female,0.98,1 x 2,1,"none, part of tail missing",very light,10.7,,,,Passeriformes,Troglodytidae,Troglodytes aedon,3,June,2007,Huachipa,366,,,12,0.504,76,55.261,16.1,15.1,22.37,12.09,10.24,11.165,0.499105945,19.35,10.88,7.51,9.195,0.475193798,0.48801534,,,,,,4.98,97.99504827
251734,female,100,none,0,moderate body molt; light wing molt; 6-9 primaries in sheath,trace,21.61,,1.032,0.188,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.373,71,19.223,,,,,,,,,,,,,,,,,,,,
172354,male,100,2.5x2.0,1,No molt anywhere,trace,20.6,,,0.21,Passeriformes,Passerellidae,Zonotrichia capensis,5,August,2010,Anco Cahua,2975,,,17,19.253,70,14.864,,,,,,,,,,,,,,,,,,,,
172119,male,0,2x1,1,none,light,9.8,,,0.122,Passeriformes,Troglodytidae,Troglodytes aedon,21,July,2010,Bosque Cachil,2550,,,7,24.23,78,46.787,18.3,17.3,27.3,16.05,14.11,15.08,0.552380952,20.27,12.29,10.29,11.29,0.55698076,0.554340971,,,,,,,
251727,female,100,none,0,light wing molt; light body molt on back and head,light,21.89,,1.122,,Passeriformes,Passerellidae,Zonotrichia capensis,10,July,2015,El Algarrobal,20,,,17,37.342,71,19.139,,,,,,,,,,,,,,,,,,,,
168173,male,100,2x2,1,no,si moderado,12.6,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,34.45,19.5,16.96,,0.529172714,39.9,22.8,20.09,,0.537468672,0.533624748,,,,,,,
251729,female,100,none,0,"moderate body, back, head molt; primaries in sheath",trace,23.15,,1.504,0.178,Passeriformes,Passerellidae,Zonotrichia capensis,11,July,2015,El Algarrobal,20,,,17,37.376,71,19.206,,,,,,,,,,,,,,,,,,,,
