NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251822,male,100,none,0,none,trace,11.64,NA,0.602,0.129,Passeriformes,Furnariidae,Phleocryptes melanops,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251817,female,75,none,0,none,trace,11.8,NA,0.664,0.136,Passeriformes,Furnariidae,Phleocryptes melanops,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,18.5,17.5,19.99,11.97,10.31,11.14,0.557278639,8.35,5.19,3.39,4.29,0.513772455,0.544460127,460,,2300,23000000,4600000000,4.6,118.3608972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251501,male,60,no,0,none,moderado,6.89,NA,NA,0.07,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.5,14.5,33.38,16.57,13.98,15.275,0.457609347,29.69,14.63,13.06,13.845,0.466318626,0.461709212,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251801,male,100,none,0,light molt-coverts in sheaths,moderate,13.68,NA,0.784,0.146,Passeriformes,Furnariidae,Phleocryptes melanops,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,15,14,36.64,17.94,13.81,15.875,0.433269651,36.49,19,13.64,16.32,0.447245821,0.440243402,324,,1620,16200000,3240000000,3.24,135.8775933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279153,male,10,4 x 5 mm,1,no wing molt; central retrices missing; moderate body molt,moderate,14,NA,NA,0.186,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,19.5,18.5,53,29.7,28.2,28.95,0.546226415,65.29,35.89,32.87,34.38,0.526573748,0.535379153,511,,2555,25550000,5110000000,5.11,104.7708714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251498,male,50,no,0,none,moderado,13.7,NA,NA,NA,Passeriformes,Furnariidae,Phleocryptes melanops,13,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.4,15.4,22.95,14.97,13.39,14.18,0.617864924,19.63,10.4,8.55,9.475,0.482679572,0.555542508,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251357,male,80,none,0,"moderate head, neck, body molt",trace,8.87,0.058,0.404,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,18.6,17.6,20.54,12.18,10.02,11.1,0.540408958,29.6,18.79,15.26,17.025,0.575168919,0.560929398,416,,2080,20800000,4160000000,4.16,134.8387975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279155,unkown,5,6 x 7 mm,1,no wing/tail molt; moderate body molt,light,14.4,0.212,0.368,0.18,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16.4,15.4,56.32,27.51,24.6,26.055,0.46262429,65.33,33.15,27.39,30.27,0.463339966,0.463008631,423,,2115,21150000,4230000000,4.23,109.4583053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251362,male,90,7x4mm,1,tail in sheath,trace,16.14,0.124,0.692,0.164,Passeriformes,Furnariidae,Phleocryptes melanops,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.5,16.5,36.03,18.94,17.23,18.085,0.501942825,35.64,20.11,16.31,18.21,0.510942761,0.506418306,401,,2005,20050000,4010000000,4.01,126.2888544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279145,male,50,none,0,light body,moderate,16.4,0.12,0.71,0.186,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,15.5,14.5,49.03,23.9,21.96,22.93,0.467672853,39.11,17.71,13.92,15.815,0.404372283,0.439584752,360,,1800,18000000,3600000000,3.6,122.1068754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251342,male,20,none,0,moderate head and body molt,trace,16.4,0.116,0.648,0.164,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,16.4,15.4,18.53,10.78,7.78,9.28,0.500809498,19.98,11.63,9.31,10.47,0.524024024,0.512853804,342,,1710,17100000,3420000000,3.42,149.9572527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251350,female,30,6x5mm,1,"primary-8,1 unsheath symetrical",light,18.16,0.106,0.662,0.168,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,16.6,15.6,22.3,12.04,9.46,10.75,0.48206278,21.04,12.86,8.42,10.64,0.505703422,0.493539455,383,,1915,19150000,3830000000,3.83,128.8614766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251347,male,70,6x5mm,1,neck body tail wing,trace,15.86,0.106,0.806,0.224,Passeriformes,Furnariidae,Phleocryptes melanops,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.7,16.7,19.16,10.21,8.39,9.3,0.485386221,13.26,8.09,6.05,7.07,0.533182504,0.504935225,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278514,female,20,none,0,none,light,12.03,0.102,0.72,0.188,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,18.9,17.9,12.03,7.28,4.95,6.115,0.508312552,19.95,10.93,8.76,9.845,0.493483709,0.499061914,357,,1785,17850000,3570000000,3.57,139.7932531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,15 min,,whole blood saved
251540,male,20,none,0,trace head molt,light,15.38,0.1,0.754,NA,Passeriformes,Furnariidae,Phleocryptes melanops,16,January,2017,Ondores,4061,h,Peru,11,3.378,76,9.369,15.5,14.5,37.36,21.59,19.41,20.5,0.548715203,35.12,19.35,17.5,18.425,0.524629841,0.537044702,429,,2145,21450000,4290000000,4.29,125.1852452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
